146922,Dota2,2016-04-12 18:14:00.000000,1.878,1.840,Danish Bears,Team Empire,Kills10,ESL Quali,Map1,146918,win2
147110,Dota2,2016-04-12 19:26:00.000000,1.965,1.751,Danish Bears,Team Empire,GameResult,ESL Quali,Map2,146918,win1
147111,Dota2,2016-04-12 19:26:00.000000,1.876,1.841,Danish Bears,Team Empire,First blood map 2,ESL Quali,First blood map 2,146918,win1
147112,Dota2,2016-04-12 19:26:00.000000,1.984,1.734,Danish Bears,Team Empire,Kills10,ESL Quali,Map2,146918,win1
147128,Dota2,2016-04-12 20:29:00.000000,1.788,1.927,Danish Bears,Team Empire,GameResult,ESL Quali,Map3,146918,draw
147129,Dota2,2016-04-12 20:29:00.000000,1.900,1.815,Danish Bears,Team Empire,First blood map 3,ESL Quali,First blood map 3,146918,draw
147130,Dota2,2016-04-12 20:29:00.000000,1.927,1.787,Danish Bears,Team Empire,Kills10,ESL Quali,Map3,146918,draw
146935,Dota2,2016-04-12 18:00:00.000000,2.235,1.557,Polarity,Team Spirit,Total,BTS,NA,146935,draw
146936,Dota2,2016-04-12 18:00:00.000000,2.164,1.599,Polarity,Team Spirit,GameResult,BTS,Map1,146935,win2
146937,Dota2,2016-04-12 18:00:00.000000,1.872,1.846,Polarity,Team Spirit,FB,BTS,Map1,146935,win1
146938,Dota2,2016-04-12 18:00:00.000000,1.801,1.914,Polarity,Team Spirit,Kills10,BTS,Map1,146935,win1
147096,Dota2,2016-04-12 18:51:00.000000,2.010,1.711,Polarity,Team Spirit,GameResult,BTS,Map2,146935,win1
147097,Dota2,2016-04-12 18:51:00.000000,1.832,1.885,Polarity,Team Spirit,First blood map 2,BTS,First blood map 2,146935,win2
147099,Dota2,2016-04-12 18:51:00.000000,1.767,1.948,Polarity,Team Spirit,Kills10,BTS,Map2,146935,win1
147119,Dota2,2016-04-12 20:01:00.000000,2.023,1.701,Polarity,Team Spirit,GameResult,BTS,Map3,146935,draw
147120,Dota2,2016-04-12 20:01:00.000000,1.824,1.892,Polarity,Team Spirit,First blood map 3,BTS,First blood map 3,146935,win2
147121,Dota2,2016-04-12 20:01:00.000000,1.725,1.994,Polarity,Team Spirit,Kills10,BTS,Map3,146935,win1
146901,Counter-Strike,2016-04-12 18:00:00.000000,1.289,3.006,Epsilon,AGG,Total,Hitbox,NA,146901,draw
146905,Counter-Strike,2016-04-12 18:00:00.000000,1.433,2.502,Epsilon,AGG,GameResult,Hitbox,Map1,146901,win2
146907,Counter-Strike,2016-04-12 18:02:00.000000,1.727,1.991,Epsilon,AGG,will win 1st round on map 1,Hitbox,will win 1st round on map 1,146901,win2
146908,Counter-Strike,2016-04-12 18:20:00.000000,1.779,1.936,Epsilon,AGG,will win 16th round on map 1,Hitbox,will win 16th round on map 1,146901,win1
147100,Counter-Strike,2016-04-12 19:00:00.000000,1.975,1.742,Epsilon,AGG,GameResult,Hitbox,Map2,146901,win2
147101,Counter-Strike,2016-04-12 19:00:00.000000,1.866,1.854,Epsilon,AGG,will win 1st round on map 2,Hitbox,will win 1st round on map 2,146901,win2
147102,Counter-Strike,2016-04-12 19:27:00.000000,1.955,1.761,Epsilon,AGG,will win 16th round on map 2,Hitbox,will win 16th round on map 2,146901,win1
147116,Counter-Strike,2016-04-12 19:53:00.000000,2.316,1.513,Epsilon,AGG,GameResult,Hitbox,Map3,146901,draw
147117,Counter-Strike,2016-04-12 19:53:00.000000,1.922,1.793,Epsilon,AGG,will win 1st round on map 3,Hitbox,will win 1st round on map 3,146901,win2
147118,Counter-Strike,2016-04-12 20:15:00.000000,2.073,1.661,Epsilon,AGG,will win 16th round on map 3,Hitbox,will win 16th round on map 3,146901,win1
146807,Counter-Strike,2016-04-12 18:00:00.000000,1.050,5.526,Astralis,CSGL,Total,DreamHack,NA,146807,win1
146808,Counter-Strike,2016-04-12 18:00:00.000000,1.490,2.366,Astralis,CSGL,will win 1st round,DreamHack,will win 1st round,146807,win2
146809,Counter-Strike,2016-04-12 18:23:00.000000,1.512,2.319,Astralis,CSGL,will win 16th round,DreamHack,will win 16th round,146807,win1
146896,Dota2,2016-04-12 17:35:00.000000,1.358,2.727,Fantastic Five,Prodota Gaming,Total,Prodota Cup,NA,146896,win1
146898,Dota2,2016-04-12 17:34:00.000000,1.500,2.345,Fantastic Five,Prodota Gaming,GameResult,Prodota Cup,Map1,146896,win1
146899,Dota2,2016-04-12 17:34:00.000000,1.830,1.886,Fantastic Five,Prodota Gaming,FB,Prodota Cup,Map1,146896,win2
146900,Dota2,2016-04-12 17:34:00.000000,1.627,2.121,Fantastic Five,Prodota Gaming,Kills10,Prodota Cup,Map1,146896,win2
