147569,Dota2,2016-04-14 13:39:00.000000,1.797,1.917,Alliance (Live),Virtus.pro (Live),FB,SL i-L LIVE,Map1,147566,win2
147583,Dota2,2016-04-14 15:20:00.000000,1.065,5.204,Alliance (Live),Virtus.pro (Live),GameResult,SL i-L LIVE,Map2,147566,win1
147584,Dota2,2016-04-14 14:28:00.000000,1.808,1.907,Alliance (Live),Virtus.pro (Live),FB,SL i-L LIVE,Map2,147566,win2
147528,Counter-Strike,2016-04-14 14:05:13.000000,2.060,3.579,New4,Wings,Total,SL Quali,NA,147528,draw
147315,Dota2,2016-04-14 13:29:00.000000,1.401,2.590,Alliance,Virtus.pro,Total,SL i-League,NA,147315,win1
147316,Dota2,2016-04-14 13:29:00.000000,1.498,2.348,Alliance,Virtus.pro,GameResult,SL i-League,Map1,147315,win1
147317,Dota2,2016-04-14 13:29:00.000000,1.832,1.884,Alliance,Virtus.pro,FB,SL i-League,Map1,147315,win2
147318,Dota2,2016-04-14 13:29:00.000000,1.663,2.071,Alliance,Virtus.pro,Kills10,SL i-League,Map1,147315,win1
147418,Dota2,2016-04-14 13:29:00.000000,1.474,2.402,Alliance,Virtus.pro,Dire will take 1st roshan on map 1,SL i-League,Radiant will take 1st roshan on map 1,147315,win1
147419,Dota2,2016-04-14 13:29:00.000000,1.386,2.636,Alliance,Virtus.pro,Total kills Over 36.5 on map 1,SL i-League,Total kills Under 36.5 on map 1,147315,win2
147420,Dota2,2016-04-14 13:29:00.000000,2.292,1.526,Alliance,Virtus.pro,Total kills Over 50.5 on map 1,SL i-League,Total kills Under 50.5 on map 1,147315,win2
147421,Dota2,2016-04-14 13:29:00.000000,2.031,1.694,Alliance,Virtus.pro,Total time Over 40 minutes on map 1,SL i-League,Total time Under 40 minutes on map 1,147315,win2
147576,Dota2,2016-04-14 14:21:00.000000,1.297,2.967,Alliance,Virtus.pro,GameResult,SL i-League,Map2,147315,win1
147577,Dota2,2016-04-14 14:21:00.000000,1.800,1.915,Alliance,Virtus.pro,FB,SL i-League,Map2,147315,win2
147578,Dota2,2016-04-14 14:22:00.000000,1.465,2.422,Alliance,Virtus.pro,Kills10,SL i-League,Map2,147315,win1
147579,Dota2,2016-04-14 14:22:00.000000,1.475,2.400,Alliance,Virtus.pro,Dire will take 1st roshan on map 2,SL i-League,Radiant will take 1st roshan on map 2,147315,win1
147580,Dota2,2016-04-14 14:22:00.000000,1.418,2.541,Alliance,Virtus.pro,Total kills over 36.5 on map 2,SL i-League,Total kills under 36.5 on map 2,147315,win1
